Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
158,129.   ICD­10 has how many chapters?,Primordial prevention,Health promotion,Specific protection,Secondary prevention,,C,no
159,"122.   First in sequence: 

[MH 2002]",Impairment,Disease,Disability,Rehabilitation,,,yes
160,123.   All are primary levels of prevention except:  [MH 2002],Health promotion,Specific protection,Early diagnosis and treatment,Immunization,,B,no
161,"124.   Not allowing the emergence or development of the risk 
[MH 2005]

factor itself is which level of prevention?",Primordial,Primary,Secondary,Tertiary,,C,no
162,"125.   Level of prevention that includes Specific protection: 

[MP 2004] [MH 2006]",Primordial,Primary,Secondary,Tertiary,,A,no
163,126.   Chemoprophylaxis is prevention type:,Primary,Secondary,Tertiary,Quaternary,,B,no
164,130.   Vital ICD is reviewed once in every:,2 years,5 years,"8 years 

 [AP 2004]",10 years,,A,no
165,"131.   Regarding International classification of disease untrue 

is:",Revised every 10 years,10th revision has 15 major chapters,Is base for use in other health fields,"Coding system in 10th revision is alphanumerical

[MH 2007]

MISCELLANEOUS",,D,no
166,"132.   Iceberg phenomenon differentiates:  

[AIPGME 08]",Apparent and Inapparent,Symptomatic and Asymptomatic,Cases and Carriers,Diagnosed and Undiagnosed,,B,no
167,"133.   Maximum  power  of  destruction  of  a  disease  is  meas-
[DPG 2006]

ured by:",Survival rate,Case fatality rate,Specific death rate,Proportional mortality rate,,A,no
168,134.   Seasonal trend is due to:,Vector variation,Environmental factors,Change in herd immunity,"All of the above

[RJ 2000]
[RJ 2004]

[AIPGME 01]",,B,no
169,135.   Intraspecies competition is the competition among:,Species,"Individuals of a population

[AIIMS Dec 1994]

67

mebooksfree.com

Concepts of Health and DiseaseConcepts of Health and Disease",Individuals of a community,Populations and their regulatory factors,,D,no
170,136.   All of the statements about quarantine are true except:,"It is synonymous with isolation 
  [AIIMS Nov 04]","Absolute  quarantine  is  restriction  during  the  incu-

bation period","Exclusion of children from schools is an example of 

modified quarantine","Quarantine  should  not  be  longer  than  the  longest 

incubation period",,B,no
171,"137.   According  to  a  joint  study  “Healthcare  In  India:  The 
Road Ahead” done by CII and McKinsey and company 
in 2002, India’s existing bed population ratio is:",0.777777778,1.5:1000,1.069444444,"2.5:1000 

[AIIMS Nov 05]",,A,no
172,"138.   Which  of  the  following  is  characteristic  of  a  single 
[AIIMS May 05]

exposure common vehicle outbreak?",Frequent secondary cases,Severity increases with increasing age,Explosive,"Cases occur continuously beyond the longest incu-

bation period",,,yes
173,"139.   Which of the following is not targeted in Millennium 
[AIIMS Nov 2001]

Development Goals (MDGs)?",Eradicating extreme poverty,Fostering global partnership for development,Reducing child mortality,Improving health care delivery,,C,no
174,140.   Global eradication of small pox was done on:,26th Oct 1977,8th May 1980,17th March 1980,"17th April 1977 

[AIIMS Jan 1998]",,D,no
175,"141.   Direct standardisation is used to compare mortality data 
of two countries. This is done because of difference in:","Causes of deaths 
[AIPGME 2011]",Numerators,Denominators,Age distribution,,C,no
176,142.   Not under Millennium development goals:,Reduction of cardiovascular health hazards,Eradication of extreme poverty,Global partnership for development,"Sustainability of the environment

[DNB June 2011]",,D,no
177,"144.   Bhopal gas tragedy is an example of  

[DNB 2008]",Point source epidemic,Continuous epidemic,Propagated epidemic,Slow epidemic,,A,no
178,145.   Which of the following is a MDG?,"Reduce  by  2/3rd  the  under  five  mortality  by  year 
[AIIMS November 2012]

1990-2015",Halve the prevalence of HIV-AIDS by 2015,Reduce maternal mortality by 50%,Combat PEM & Diarrhea,,A,no
179,"146.   Millennium  development  goals  aim  to  reduce  MMR 
[DNB June 2011]

by",03-Apr,02-Mar,01-Apr,01-Feb,,A,no
180,147.   Long term fluctuation is seen with,Cyclic trends,Epidemics,Secular trends,"Seasonal trends

[DNB December 2011]",,,yes
181,"148.   True about continuous common source epidemics 

[Recent Question 2012]",High secondary attack rate,Duration more than one incubation period,Rapid rise and fall of epidemic curve,Brief and simultaneous exposure,,C,no
182,"149.   Cyclic trend is  

[DNB December 2011]",Variations in herd immunity,Environmental,Nutritional,Short term,,B,no
183,150.   An epidemic of Hepatitis A is an example of [AP 2014],"Common source, single exposure epidemic","Common source, continuous exposure epidemic",Propagated epidemic,Slow epidemic,,A,no
184,"151.   There has been a gradual increase in number of cases 
of Non communicable diseases as compared to previ-
ous years. This trend is called as [AIIMS PG May 2015]",Secular,Cyclical,Seasonal,"Periodical

Review Questions",,C,no
185,"143.   True about point source epidemic is   [DNB June 2011]

 152.  Surveillance is: 

[DNB 2001]",Scrutiny of factors,Treatment of contacts,Prevention of disease,"Chemoprophylaxis of disease

68

mebooksfree.com

Review of Preventive and Social MedicineConcepts of Health and Disease",,A,no
186,"153.   True morbidity is measured by: 

[UP 2000]",Active surveillance,Passive surveillance,Sentinel surveillance,Continuous surveillance,,A,no
187,"154.   Tip  of  iceberg  phenomenon  is  mostly  appropriately 
[Kolkata 2002]

represented by:",Malaria,Measles,PEM,Rabies,,C,no
188,155.   Quarantine is isolation of healthy individual:,For longest incubation period of disease  [MP 2000],"For shortest incubation period of disease 

[Kolkata 2008]","Approximate  interval  between  onset  and  cause  of 

death",The mode of death,,C,no
189,"157.   Limit for registration of birth is: 

[MH 2007]",7 days,14 days,21 days,Any of the above,,A,no
190,"158.   In India death has to be registered with in: 

[RJ 2004]",3 days,7 days,14 days,21 days,,C,no
191,"156.   Part I of the ‘death certificate’ deals with: 

 159.  Carriers are not found in: 

[RJ 2005]",Typhoid,Diphtheria,Whooping cough,"Hepatitis B

mebooksfree.com

69

Concepts of Health and DiseaseConcepts of Health and Disease 
 
   
 
   
 
   
 
MULTIPLE CHOICE QUESTIONS

DEFINITION AND EPIDEMIOLOGICAL METHODS

Review Questions",,C,yes
192,"1.   Residence  of  three  villages  with  three  different  types 
of water supply were asked to participate in a study to 
identify cholera carriers. Because several cholera deaths 
had occurred in the recent past, virtually everyone pre-
sent at the time submitted to examination. The propor-
tion of residents in each village who were carriers was 
computed and compared. This study is a:",Cross-sectional study,Case-control study,Concurrent cohort study,"Non-concurrent

[AIIMS May 03]",,A,no
193,"2.   The  analytical  study  where  population  is  the  unit  of 
[AIPGME 1996]

study is:",Cross sectional,Ecological,Case-control,Cohort,,B,no
194,"3.    All  of  the  following  are  true  about  ‘Evidence-based 
medicine’ except:  
[AIIMS November 2011]","Aims  to  apply  best  available  evidence  gained  from 

scientific method to clinical decision making","Research paper is investigated by the tools quoted in 

research paper itself to check validity","Opinions  of  medical  professionals  and  researchers 

have been given least importance",Evidence is generated from weak and poor studies,,,
195,4.   Natural history of disease is studied with:,Longitudinal studies,Cross-sectional studies,Trials,"None

[Recent Question 2013]
[WBPG 2014]",,,
196,"5.   Cause to effect progression is seen in all except:  

[DNB June 2010] [DNB December 2011]",Case control study,Ecological study,Cohort study,Randomized control trial,,,
197,6.   Father of Evidence Based Medicine is [AIIMS May 2014],Sackett,Da vinci,Hippocrates,"Tolstoy

118",,,
198,7.   Hypothesis is a:,Axiom,Verified variable,Established document,"Variable to be tested

[MP 2000]",,,
199,"8.   Studying  distribution  of  disease  or  health  related 
characteristics in human population and identifying the 
characteristics  with  which  disease  seem  to  associated 
is: 
[MH 2002]",Descriptive epidemiology,Experimental epidemiology,Analytical epidemiology,Ecological epidemiology,,,
200,"9.	  Best	study	of	first	choice	for	assessment	of	UNKNOWN	

or New disease with no etiological hypothesis?",Cohort study,Case control study,Cross-sectional study,"Descriptive epidemiology

[MH 2007]

MEASUREMENTS IN EPIDEMIOLOGY",,,
201,"10.   The following is true about prevalence and incidence: 
[AIIMS Nov 03, AIIMS May 05]",Both are rates,Prevalence is a rate but incidence is not,Incidence is a rate but prevalence is not,Both are not rates,,,
202,11.   Prevalence is a:,Rate,Ratio,Proportion,"Mean

[Recent Question 2013]",,,
203,"12.   Incidence of a disease in a population of 30,000 and 300 
[DNB December 2011]

new cases is:",0.1 per 1000,10 per 1000,100 per 1000,1 per 1000,,,
204,13.   For calculation of incidence denominator is taken as:,Mid year population,Population at risk,Total number of cases,"Total number of deaths

[Recent Question 2012]

mebooksfree.com

Review of Preventive and Social MedicineEpidemiology and Vaccines 
Review Questions",,,
205,"14.   All  of  the  following  are  true  regarding  the  Ratio 
[AP 2001]

except:",Numerator is component of denominator,Numerator is not a component of denominator,Numerator & denominator are not related values,It is expressed as a number,,,
206,"15.   True about prevalence: 

[MP 2002]",It is a ratio,"Prevalence  rate  is  the  ideal  measure  for  studying 

disease etiology or causation",Increases with increase in duration of disease,"Decreases with decrease in case fatality

IDC",,,
207,"16.   In	WHO	recommended	Death	Certificate,	Main	Under­

lying	Cause	of	Death	is	recorded	on:",Line Ia,Line Ib,Line Ic,"Line II

[AIIMS Nov 1999]

MORTALITY MEASUREMENTS",,,
208,"17.   All  are  true  for  Standardized  Mortality  ratio  (SMR) 
  [AIIMS Nov 1992] 

except:",Is a form of direct standardization,"Is calculated as Observed deaths/ Expected deaths × 

100",Permits adjustment for age,Can be used for disease as event of occurrence,,,
209,"18.   Following can be used as a yardstick for the assessment 

of standards of therapy:",Specific death rate,Case fatality rate,Proportional mortality rate,"Survival rate

[AIPGME 1996]",,,
210,19.   About direct standardization all are true except:,Age specific death rate is not needed,A standard population is needed,Population should be comparable,"Two populations are compared

[AIPGME 00, 02]
[UP 2002]",,,
211,"20.   The rate adjusted to allow for the age distribution of the 
[AIIMS Nov 03, AIIMS May 05]

population is:",Perinatal mortality rate,Crude mortality rate,Fertility rate,Age-standardized mortality rate,,,
212,"21.	  Which is best in order to make a comparison between 2 
[AIIMS Nov 2001]

populations?",Standardized mortality rate,Disease specific death rate,Proportional mortality rate,Age specific death rate,,,
213,"22.   At  what  point  in  time  is  the  population  assessed  for 
[AIIMS May 01]

calculation of the crude death rate?",1st Jan,1st May,1st July,31st Dec,,,
214,23.   All are indicators of mortality except:,Case fatality rate,Life expectancy,Duration of sickness,"Standardised death rate

[AIIMS May 1994]",,,
215,"24.   In an outbreak of cholera in a village of 2000 population 
20  cases  have  occurred  and  5  have  died.  Case  fatality 
rate is: 
[AIPGME 1991]",1%,0.25%,5%,25%,,,
216,"25.   All the statements are true about standardization except:    
[AIPGME 2006, AIIMS June 2000]","Standardization allows comparison to be made bet-

ween two different populations","The national population is always taken as the stan-

dard population","For  direct  Standardization,  age  specific  rates  of  the 
study population are applied to that of the standard 
population","For  Indirect  Standardization  age  specific  rates  of 
the  standard  population  are  applied  to  the  study 
population",,,
217,"26.	  Direct	standardization	is	used	to	compare	the	mortality	
rates between two countries. This is done because of the 
differences in:

[AIIMS Nov, May 2006, AIPGME 2007]",Causes of death,Numerators,Age distributions,Denominators,,,
218,"27.	  Which	one	of	the	following	is	a	better	indicator	of	the	
[AIIMS May 1995, 04,  
AIPGME 2005, AIIMS Nov 1999]

severity of an acute disease?",Cause specific death rate,Case fatality rate,Standardized mortality ratio,"Five year survival rate

mebooksfree.com

119

Epidemiology and VaccinesEpidemiology and Vaccines",,,
219,"28.   Maximum power of destruction of a disease is measured 
[DPG 2006]

by:",Survival rate,Case fatality rate,Specific death rate,Proportional mortality rate,,,
220,"29.   Estimating  the  burden  of  particular  disease  in  a  com-
[Karnataka 2005]
[UP 2007]

munity is measured by:",Proportional mortality rate,Disease specific mortality,Crude death rate,Incidence of disease,,,
221,30.   Case fatality rate is a method measuring:,Infectivity,Pathogenicity,Virulence,"Average duration of disease

[Karnataka 2005]",,,
222,31.	  Which	one	is	not	true	of	case	fatality	rate?,It is a ratio,Time interval is non-specified,"It may vary from the same disease in different epide-

[Karnataka 2006]

mics",It is useful in chronic diseases,,,
